product,price,quantity,date,region
pink morsel,$3.00 ,545,6/11/2019,north
pink morsel,$3.00 ,521,6/11/2019,south
pink morsel,$3.00 ,595,6/11/2019,east
pink morsel,$3.00 ,507,6/11/2019,west
gold morsel,$9.99 ,529,6/11/2019,north
gold morsel,$9.99 ,509,6/11/2019,south
gold morsel,$9.99 ,513,6/11/2019,east
gold morsel,$9.99 ,585,6/11/2019,west
magenta morsel,$2.50 ,586,6/11/2019,north
magenta morsel,$2.50 ,561,6/11/2019,south
magenta morsel,$2.50 ,551,6/11/2019,east
magenta morsel,$2.50 ,568,6/11/2019,west
chartreuse morsel,$3.00 ,568,6/11/2019,north
chartreuse morsel,$3.00 ,563,6/11/2019,south
chartreuse morsel,$3.00 ,532,6/11/2019,east
chartreuse morsel,$3.00 ,514,6/11/2019,west
periwinkle morsel,$1.25 ,566,6/11/2019,north
periwinkle morsel,$1.25 ,539,6/11/2019,south
periwinkle morsel,$1.25 ,505,6/11/2019,east
periwinkle morsel,$1.25 ,508,6/11/2019,west
vermilion morsel,$4.99 ,541,6/11/2019,north
vermilion morsel,$4.99 ,588,6/11/2019,south
vermilion morsel,$4.99 ,545,6/11/2019,east
vermilion morsel,$4.99 ,583,6/11/2019,west
lapis morsel,$1.99 ,544,6/11/2019,north
lapis morsel,$1.99 ,556,6/11/2019,south
lapis morsel,$1.99 ,599,6/11/2019,east
lapis morsel,$1.99 ,526,6/11/2019,west
pink morsel,$3.00 ,576,6/12/2019,north
pink morsel,$3.00 ,505,6/12/2019,south
pink morsel,$3.00 ,516,6/12/2019,east
pink morsel,$3.00 ,559,6/12/2019,west
gold morsel,$9.99 ,505,6/12/2019,north
gold morsel,$9.99 ,577,6/12/2019,south
gold morsel,$9.99 ,556,6/12/2019,east
gold morsel,$9.99 ,539,6/12/2019,west
magenta morsel,$2.50 ,542,6/12/2019,north
magenta morsel,$2.50 ,561,6/12/2019,south
magenta morsel,$2.50 ,594,6/12/2019,east
magenta morsel,$2.50 ,591,6/12/2019,west
chartreuse morsel,$3.00 ,564,6/12/2019,north
chartreuse morsel,$3.00 ,554,6/12/2019,south
chartreuse morsel,$3.00 ,591,6/12/2019,east
chartreuse morsel,$3.00 ,501,6/12/2019,west
periwinkle morsel,$1.25 ,543,6/12/2019,north
periwinkle morsel,$1.25 ,582,6/12/2019,south
periwinkle morsel,$1.25 ,537,6/12/2019,east
periwinkle morsel,$1.25 ,514,6/12/2019,west
vermilion morsel,$4.99 ,542,6/12/2019,north
vermilion morsel,$4.99 ,519,6/12/2019,south
vermilion morsel,$4.99 ,542,6/12/2019,east
vermilion morsel,$4.99 ,569,6/12/2019,west
lapis morsel,$1.99 ,540,6/12/2019,north
lapis morsel,$1.99 ,520,6/12/2019,south
lapis morsel,$1.99 ,590,6/12/2019,east
lapis morsel,$1.99 ,507,6/12/2019,west
